candidate_id,label,path,asset_count,TYPE,MUSIC_READY,LYRICS_READY,VOCALS_READY,MIX_MASTER_READY,REVISION_REQUIRED,LIVE_READY,PRIORITY,NEXT_ACTION,ACTION_OWNER
cat2_3f01d3ab7b9b176a,Aakhri Ishq,Aakhri Ishq,7,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_dff77f896868c6a5,Abhi Mujhme Kahin,Abhi Mujhme Kahin,2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_0a43a98fdcab8228,Ae zindagi gale laga le,Ae zindagi gale laga le,2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_4f90946f01f9c8b6,Agar Ho Tum,Agar Ho Tum,8,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_79290af7b58ddb34,Apna bana le,Apna bana le,11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_e7ea53db72331a7d,Arijit Dance Mashup,Arijit Dance Mashup,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_52b5d698fedd26ee,Aye Khuda,Aye Khuda,8,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_88801f0acb7cfd7f,Baarish - Half girlfriend,Baarish - Half girlfriend,7,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_85ea53f51681416a,Baarish-Kabhi jo badal,Baarish-Kabhi jo badal,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b8bfe2f530324a99,Bekhayali,Bekhayali,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_d651bf20e95a2c82,Bhool Jaa,Bhool Jaa,6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_32a10e31b5306fed,Chaleya,Chaleya,6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_dd841dc54a2bcce3,Chand Mera dil,Chand Mera dil,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_7e7ce65ea1fc51f2,Chand mera dil mash up,Chand mera dil mash up,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f7e8d7c3fa1d08fa,Chunar 2025,Chunar 2025,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_0ff14234a5b7d399,DHUN,DHUN,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_db127447f49cdd57,Dooriyan,Dooriyan,6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_40574d82388dafa6,Apna Bana Levideo’s,Downloads/Apna Bana Levideo’s,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_abeb504688b08a50,Baarish videos,Downloads/Baarish videos,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_d9019b5bf4c303af,Final videos ,Downloads/Final videos ,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_2b0741d93ac55409,HUA MAIN,Downloads/HUA MAIN,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_8b914d5c77516674,Stater,Downloads/Stater,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_88f13d8beaaf48ef,wetransfer_apna-bana-le-mp4_2023-10-03_1015,Downloads/wetransfer_apna-bana-le-mp4_2023-10-03_1015,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_d67f645e6c16f81c,wetransfer_apna-bana-le-mp4_2023-10-03_1015 2,Downloads/wetransfer_apna-bana-le-mp4_2023-10-03_1015 2,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_5bdccd42ae70852e,wetransfer_bekhayali-mp4_2023-11-22_2238,Downloads/wetransfer_bekhayali-mp4_2023-11-22_2238,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_8077a9512772ef50,wetransfer_hua-main-vertical-part-1-mp4_2023-12-04_1601,Downloads/wetransfer_hua-main-vertical-part-1-mp4_2023-12-04_1601,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_c9488745928c14dc,wetransfer_phir-mohabbat-mp4_2023-10-03_1157,Downloads/wetransfer_phir-mohabbat-mp4_2023-10-03_1157,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_308e143afc59a57c,wetransfer_saari-duniya-v2-mp4_2023-12-22_2007,Downloads/wetransfer_saari-duniya-v2-mp4_2023-12-22_2007,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_2f98b7212c6aa641,Dua,Dua,7,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_6b16dcdf6822a8f7,Earned It,Earned It,2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_2390ca74cbb0727e,Ek Mulaqat,Ek Mulaqat,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_d2160dfdd0ebaa5b,Gehra Hua,Gehra Hua,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
