candidate_id,name,path,TYPE,MUSIC_READY,VOCALS_READY,LYRICS_READY,MIX_MASTER_READY,REVISION_REQUIRED,LIVE_READY,PRIORITY,NEXT_ACTION,ACTION_OWNER
cat2_0a43a98fdcab8228,Ae zindagi gale laga le,Ae zindagi gale laga le,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_e7ea53db72331a7d,Arijit Dance Mashup,Arijit Dance Mashup,MASHUP,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_52b5d698fedd26ee,Aye Khuda,Aye Khuda,ORIGINAL,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_85ea53f51681416a,Baarish-Kabhi jo badal,Baarish-Kabhi jo badal,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_d651bf20e95a2c82,Bhool Jaa,Bhool Jaa,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_32a10e31b5306fed,Chaleya,Chaleya,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_dd841dc54a2bcce3,Chand Mera dil,Chand Mera dil,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_7e7ce65ea1fc51f2,Chand mera dil mash up,Chand mera dil mash up,MASHUP,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f7e8d7c3fa1d08fa,Chunar 2025,Chunar 2025,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_db127447f49cdd57,Dooriyan,Dooriyan,ORIGINAL,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_2f98b7212c6aa641,Dua,Dua,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_6b16dcdf6822a8f7,Earned It,Earned It,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_72248a635568cd4f,Gerua medley,Gerua medley,MEDLEY,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f8d34f150d2fb8c0,Har kisi ko,Har kisi ko,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_25bdfeaf7d790f69,Heeriye,Heeriye,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_72021be2452fdf27,Kaise Hua,Kaise Hua,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_685800823f5c325e,Love mashups ,Love mashups ,MASHUP,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f0cbbcd0f7d53566,Main Gira,Main Gira,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_49b256ae53f5b65b,Mann Ki Lagan,Mann Ki Lagan,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_19ffb1e90e957e5a,Mehram,Mehram,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_d97ef8bda61557fa,Mere bina Labon ko,Mere bina Labon ko,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_ac22922e887b8dc4,O Re Piya,O Re Piya,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_c56f7f16c0194218,Phir aur Kya chaiye ,Phir aur Kya chaiye ,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_2cf6a8cf1de575d7,Roya Jab Tu,Roya Jab Tu,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_4371054f29c55215,Toh Phir Aao,Toh Phir Aao,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_624bc8b7a6462970,Tujhe ko,Tujhe ko,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b8046d1988d73287,Tum Jo Mil Gaye,Tum Jo Mil Gaye,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_166608e1cbdb963e,Tum se hi ,Tum se hi ,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f110c9f9abd99452,TUMHE KITNA PYAAR,TUMHE KITNA PYAAR,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_1e590f0a69014da7,Ve Kamleya,Ve Kamleya,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b070da9b59558720,Ya Ali,Ya Ali,UNKNOWN,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
