song_id,stratum,title,film,film_or_nonfilm,singer_artist,language_flag,release_year,release_year_source,key,mode,key_mode_classification,bpm,tempo_zone,half_double_tempo_note,meter,duration_source_audio,yt_video_id,yt_url,yt_channel,yt_upload_variant,yt_official,yt_views,yt_views_source,yt_views_observed_at,yt_views_alt,yt_views_alt_source,yt_views_alt_observed_at,yt_upload_date,yt_upload_date_source,upload_age_days_at_obs,views_per_day,streaming_indicators,streaming_observed_at,emotion_energy_tag,emotion_tag_basis,vocal_range_tessitura,n_key_bpm_sources,measurement_method,key_bpm_confidence,conflicts,evidence_tier,inclusion_status,notes,key_bpm_source_urls
A01,A,Zaroori Tha,,non-film,Rahat Fateh Ali Khan,Hindi/Urdu,2014,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,Ab,minor,Ab minor,114,upper-mid 100-114,half-time 57 / double-time 228 listed,4/4 (source-stated),5:42,,,The Folk & Soul Studio,official video/audio per list; variant not verified,True,1729955594,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2014-06-09,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,4487,385548.4,,,heartbreak/romantic ballad,"analyst judgement (hypothesis-level, not measured)",,2,"secondary-source estimate (Spotify audio-analysis-derived, as republished by the listed sites); no independent audio measurement performed","medium (2+ concordant secondary estimates, same underlying analyser family)",,verified-secondary,included_full,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,https://songbpm.com/@rahat-fateh-ali-khan/zaroori-tha | https://getsongbpm.com/song/zaroori-tha/vlzq6V
A02,A,Vaaste,,non-film,"Dhvani Bhanushali, Nikhil D'Souza",Hindi,2019,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,F,major,F major,90,mid 85-99,double-time 180 listed; Spotify single edit is shorter than the 4:06 video,4/4 (source-stated),3:16,BBAyRBTfsOU,https://www.youtube.com/watch?v=BBAyRBTfsOU,T-Series,official video/audio per list; variant not verified,True,1717251224,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,1759265677,"https://returnyoutubedislikeapi.com/votes?videoId=BBAyRBTfsOU (third-party cached mirror; likes 14,001,366)",2026-09-21T22:21Z,2019-04-06,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2725,630183.9,,,"romance (ballad, mid-tempo)","analyst judgement (hypothesis-level, not measured)",,2,"secondary-source estimate (Spotify audio-analysis-derived, as republished by the listed sites); no independent audio measurement performed","medium (2+ concordant secondary estimates, same underlying analyser family)",,verified-secondary,included_full,,https://songbpm.com/@dhvani-bhanushali/vaaste | https://songdata.io/search?query=vaaste
A03,A,Dilbar (Lyrical),Satyameva Jayate,film,"Neha Kakkar, Dhvani Bhanushali, Ikka",Hindi,2018,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,A,minor,A minor,104,upper-mid 100-114,half 52 / double 208 listed,4/4 (source-stated),3:04,,,T-Series,lyrical,True,1537373784,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2018-07-09,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2996,513142.1,,,dance/item (recreation),"analyst judgement (hypothesis-level, not measured)",,2,"secondary-source estimate (Spotify audio-analysis-derived, as republished by the listed sites); no independent audio measurement performed","medium (2+ concordant secondary estimates, same underlying analyser family)",,verified-secondary,included_full,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,https://tunebat.com/Info/Dilbar-From-Satyameva-Jayate-Neha-Kakkar-Dhvani-Bhanushali-Ikka-Tanishk-Bagchi/4tjLYTXFqZhkUDga4bQ0yl | https://songbpm.com/@neha-kakkar/dilbar-from-satyameva-jayate
A04,A,Lut Gaye,,non-film,Jubin Nautiyal,Hindi,2021,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,Bb,major,Bb major,91,mid 85-99,double-time 182 listed,4/4 (source-stated),3:48,,,T-Series,official video/audio per list; variant not verified,True,1521375840,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2021-02-17,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2042,745042.0,,,"romance (ballad, qawwali-derived hook)","analyst judgement (hypothesis-level, not measured)",,3,"secondary-source estimate (Spotify audio-analysis-derived, as republished by the listed sites); no independent audio measurement performed","medium (2+ concordant secondary estimates, same underlying analyser family)",,verified-secondary,included_full,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,https://www.musicgateway.com/song-key-bpm/jubin-nautiyal/lut-gaye | https://songbpm.com/@jubin-nautiyal/lut-gaye | https://songdata.io/search?query=vaaste
A05,A,Bum Bum Bole,Taare Zameen Par,film,Shaan,Hindi,2011,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,121,fast 115+,key/mode not shown on page; half 61 / double 242 listed,4/4 (source-stated),5:36,,,T-Series,official video/audio per list; variant not verified,True,1453193441,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2011-05-25,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,5598,259591.5,,,uplifting/children's anthem,"analyst judgement (hypothesis-level, not measured)",,1,"secondary-source estimate (Spotify audio-analysis-derived, as republished by the listed sites); no independent audio measurement performed",low (BPM only),,verified-secondary,included_views_only,"pre-2011 film; outside the 10–15-year window, retained as flagged",https://songbpm.com/@shaan/bum-bum-bole-from-taare-zameen-par
A06,A,Tujh Mein Rab Dikhta Hai,Rab Ne Bana Di Jodi,film,Roop Kumar Rathod,Hindi,2012,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,Ab,major,Ab major,85,mid 85-99,double-time 170 listed,4/4 (source-stated),4:42,,,Yash Raj Films,official video/audio per list; variant not verified,True,1423315007,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2012-01-19,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,5359,265593.4,,,romance (devotional-tinged ballad),"analyst judgement (hypothesis-level, not measured)",,1,"secondary-source estimate (Spotify audio-analysis-derived, as republished by the listed sites); no independent audio measurement performed",low (single secondary estimate),,verified-secondary,included_full,"pre-2011 film; outside the 10–15-year window, retained as flagged",https://songbpm.com/@roop-kumar-rathod/tujh-mein-rab-dikhta-hai-from-rab-ne-bana-di-jodi
A07,A,Mile Ho Tum (Reprise),Fever,film,"Neha Kakkar, Tony Kakkar",Hindi,2016,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,F,minor,F minor,80,slow <85,double-time 160 listed,4/4 (source-stated),5:06,,,Zee Music Company,official video/audio per list; variant not verified,True,1390041180,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2016-07-27,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,3708,374876.3,,,romance/longing ballad,"analyst judgement (hypothesis-level, not measured)",,1,"secondary-source estimate (Spotify audio-analysis-derived, as republished by the listed sites); no independent audio measurement performed",low (single secondary estimate),,verified-secondary,included_full,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,https://songbpm.com/@neha-kakkar/mile-ho-tum-reprise
A08,A,Cham Cham,Baaghi,film,Monali Thakur,Hindi,2016,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,T-Series,official video/audio per list; variant not verified,True,1391803282,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2016-05-06,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,3790,367230.4,,,dance/romance (recreation),"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A09,A,Bom Diggy Diggy,Sonu Ke Titu Ki Sweety,film,"Zack Knight, Jasmin Walia",Hindi,2018,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,B,minor,B minor,104,upper-mid 100-114,,,3:59,,,T-Series,official video/audio per list; variant not verified,True,1375607180,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2018-02-08,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,3147,437117.0,,,dance/party,"analyst judgement (hypothesis-level, not measured)",,1,"secondary-source estimate (Spotify audio-analysis-derived, as republished by the listed sites); no independent audio measurement performed",low (single secondary estimate),,verified-secondary,included_full,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,https://tunebat.com/Info/Bom-Diggy-Diggy-Zack-Knight-Jasmin-Walia/6qCNaRRr5xJALfNJvh0NAw
A10,A,Aankh Marey (Lyrical),Simmba,film,"Neha Kakkar, Mika Singh, Kumar Sanu",Hindi,2018,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,T-Series,lyrical,True,1278800084,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2018-12-11,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2841,450123.2,,,dance/item (recreation),"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,"second official upload of same recording: full video 1,049,354,582 views, uploaded 2018-12-06 (same list) — deduplicated to the lyrical upload",
