song_id,stratum,title,film,year_hint,artist_hint,frame_source
A01,A,Zaroori Tha,non-film,2014,Rahat Fateh Ali Khan,wiki_mostviewed
A02,A,Vaaste,non-film,2019,Dhvani Bhanushali,wiki_mostviewed
A03,A,Dilbar,Satyameva Jayate,2018,Neha Kakkar,wiki_mostviewed
A04,A,Lut Gaye,non-film,2021,Jubin Nautiyal,wiki_mostviewed
A05,A,Bum Bum Bole,Taare Zameen Par,2007,Shaan,wiki_mostviewed
A06,A,Tujh Mein Rab Dikhta Hai,Rab Ne Bana Di Jodi,2008,Roop Kumar Rathod,wiki_mostviewed
A07,A,Mile Ho Tum (Reprise),Fever,2016,Neha Kakkar Tony Kakkar,wiki_mostviewed
A08,A,Cham Cham,Baaghi,2016,Monali Thakur,wiki_mostviewed
A09,A,Bom Diggy Diggy,Sonu Ke Titu Ki Sweety,2018,Zack Knight Jasmin Walia,wiki_mostviewed
A10,A,Aankh Marey,Simmba,2018,Neha Kakkar Mika Singh Kumar Sanu,wiki_mostviewed
A11,A,Dil Laga Liya,Dil Hai Tumhaara,2002,Udit Narayan Alka Yagnik,wiki_mostviewed
A12,A,Khairiyat,Chhichhore,2019,Arijit Singh,wiki_mostviewed
A13,A,Tum Hi Aana,Marjaavaan,2019,Jubin Nautiyal,wiki_mostviewed
A14,A,Jhoome Jo Pathaan,Pathaan,2022,Arijit Singh Sukriti Kakar,wiki_mostviewed
A15,A,Humnava Mere,non-film,2018,Jubin Nautiyal,wiki_mostviewed
A16,A,Abhi Toh Party Shuru Hui Hai,Khoobsurat,2014,Badshah Aastha Gill,wiki_mostviewed
A17,A,Phir Bhi Tumko Chaahunga,Half Girlfriend,2017,Arijit Singh Shashaa Tirupati,wiki_mostviewed
A18,A,Filhall,non-film,2019,B Praak,wiki_mostviewed
A19,A,Kala Chashma,Baar Baar Dekho,2016,Badshah Neha Kakkar Amar Arshi,wiki_mostviewed
A20,A,Galti Se Mistake,Jagga Jasoos,2017,Arijit Singh Amit Mishra,wiki_mostviewed
A21,A,Jaha Tum Rahoge,Maheruh,2017,Altamash Faridi,wiki_mostviewed
A22,A,Leja Re,non-film,2018,Dhvani Bhanushali,wiki_mostviewed
