song_id,title,artist,recording_id,isrc,release_date,film_status,language,recording_version,youtube_official_upload_id,youtube_views,upload_date,views_per_day,watch_hours,retention,repeat_listens,prior_artist_popularity,bpm,perceived_pulse,tempo_changes,key,mode,emotion,energy,groove,meter,duration_seconds,intro_seconds,first_vocal_seconds,first_hook_seconds,first_chorus_seconds,hook_repetitions,structure,melodic_contour,vocal_range,tessitura,climax,arrangement_production,feature_provenance_json
C_beautiful-things,Beautiful Things,Benson Boone,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,A# / Bb,major,,,,,180,,,,,,,,,,,,"{""key"": {""source_id"": ""S13"", ""url"": ""https://songbpm.com/%40benson-boone/beautiful-things-geazf"", ""version"": ""SongBPM 3:00 track; master not bound"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low""}, ""mode"": {""source_id"": ""S13"", ""url"": ""https://songbpm.com/%40benson-boone/beautiful-things-geazf"", ""version"": ""SongBPM 3:00 track; master not bound"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low""}, ""duration_seconds"": {""source_id"": ""S13"", ""url"": ""https://songbpm.com/%40benson-boone/beautiful-things-geazf"", ""version"": ""SongBPM 3:00 track; master not bound"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low""}}"
C_espresso,Espresso,Sabrina Carpenter,,,,,,chart track aggregate; exact master not bound,,,,,,,,,104,,,C,major,,,,,175,,,,,,,,,,,,"{""bpm"": {""source_id"": ""S12"", ""url"": ""https://tunebat.com/Info/Espresso-Sabrina-Carpenter/2qSkIjg1o9h3YT9RAgYN75"", ""version"": ""2024 single; Spotify identifier 2qSkIjg1o9h3YT9RAgYN75"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""key"": {""source_id"": ""S12"", ""url"": ""https://tunebat.com/Info/Espresso-Sabrina-Carpenter/2qSkIjg1o9h3YT9RAgYN75"", ""version"": ""2024 single; Spotify identifier 2qSkIjg1o9h3YT9RAgYN75"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""mode"": {""source_id"": ""S12"", ""url"": ""https://tunebat.com/Info/Espresso-Sabrina-Carpenter/2qSkIjg1o9h3YT9RAgYN75"", ""version"": ""2024 single; Spotify identifier 2qSkIjg1o9h3YT9RAgYN75"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""duration_seconds"": {""source_id"": ""S12"", ""url"": ""https://tunebat.com/Info/Espresso-Sabrina-Carpenter/2qSkIjg1o9h3YT9RAgYN75"", ""version"": ""2024 single; Spotify identifier 2qSkIjg1o9h3YT9RAgYN75"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}}"
C_lose-control,Lose Control,Teddy Swims,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_birds-of-a-feather,BIRDS OF A FEATHER,Billie Eilish,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_a-bar-song-tipsy,A Bar Song (Tipsy),Shaboozey,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_too-sweet,Too Sweet,Hozier,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_i-had-some-help-feat-morgan-wallen,I Had Some Help (feat. Morgan Wallen),Post Malone,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_not-like-us,Not Like Us,Kendrick Lamar,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_cruel-summer,Cruel Summer,Taylor Swift,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_stick-season,Stick Season,Noah Kahan,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_good-luck-babe,"Good Luck, Babe!",Chappell Roan,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_please-please-please,Please Please Please,Sabrina Carpenter,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_million-dollar-baby,MILLION DOLLAR BABY,Tommy Richman,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_die-with-a-smile,Die With A Smile,"Lady Gaga, Bruno Mars",,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_i-like-the-way-you-kiss-me,i like the way you kiss me,Artemas,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_i-remember-everything-feat-kacey-musgraves,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_apt,APT.,ROSÉ & Bruno Mars,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_greedy,greedy,Tate McRae,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_gata-only,Gata Only,"FloyyMenor, Cris MJ",,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_we-can-t-be-friends-wait-for-your-love,we can’t be friends (wait for your love),Ariana Grande,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_golden,Golden,HUNTR/X,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_ordinary,Ordinary,Alex Warren,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_luther,luther,"Kendrick Lamar, SZA",,,,,,chart track aggregate; exact master not bound,,,,,,,,,69,,,D,major,,,,,176,,,,69,,I-A-PC-B-A-PC-B-C-O,,,,,,"{""bpm"": {""source_id"": ""S07"", ""url"": ""https://www.hitsongsdeconstructed.com/wp-content/uploads/2026/02/Hit-Songs-Deconstructed-2025-1-Hit-Report.pdf"", ""version"": ""HSD report recording 2:56; page 6"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""medium""}, ""key"": {""source_id"": ""S07"", ""url"": ""https://www.hitsongsdeconstructed.com/wp-content/uploads/2026/02/Hit-Songs-Deconstructed-2025-1-Hit-Report.pdf"", ""version"": ""HSD report recording 2:56; page 6"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""medium""}, ""mode"": {""source_id"": ""S07"", ""url"": ""https://www.hitsongsdeconstructed.com/wp-content/uploads/2026/02/Hit-Songs-Deconstructed-2025-1-Hit-Report.pdf"", ""version"": ""HSD report recording 2:56; page 6"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""medium""}, ""duration_seconds"": {""source_id"": ""S07"", ""url"": ""https://www.hitsongsdeconstructed.com/wp-content/uploads/2026/02/Hit-Songs-Deconstructed-2025-1-Hit-Report.pdf"", ""version"": ""HSD report recording 2:56; page 6"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""medium""}, ""first_chorus_seconds"": {""source_id"": ""S07"", ""url"": ""https://www.hitsongsdeconstructed.com/wp-content/uploads/2026/02/Hit-Songs-Deconstructed-2025-1-Hit-Report.pdf"", ""version"": ""HSD report recording 2:56; page 6"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""medium""}, ""structure"": {""source_id"": ""S07"", ""url"": ""https://www.hitsongsdeconstructed.com/wp-content/uploads/2026/02/Hit-Songs-Deconstructed-2025-1-Hit-Report.pdf"", ""version"": ""HSD report recording 2:56; page 6"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""medium""}}"
C_that-s-so-true,That’s So True,Gracie Abrams,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
