id,cohort,title,artist_as_listed,acousticness,arrangement_production_era,artist_verified,bpm,bpm_alt,bpm_site2,bpm_site_spotify_derived,bpm_source,chorus_arrival_sec,climax_placement,duration_source,emotion,energy,era_year,feature_confidence,feature_kind,feature_method,feature_provenance_urls,film_status,first_hook_sec,first_vocal_sec,flags,groove,hook_repetitions,intro_length_sec,key,key_mode_conflict_site_vs_sheet,key_site_spotify_derived,language,loudness_db,market,melodic_contour,meter,mode,mode_site_spotify_derived,mode_source,official_upload_date,perceived_pulse_note,release_date_S2,song_duration_sec,structural_timing_note,structure,success_hot100_weeks_at_1_B3,success_india_songs_date_reached_1_BI,success_india_songs_weeks_at_1_BI,success_sources,success_spotify_in_chart_days_SI,success_spotify_in_chart_total_streams_SI,success_spotify_in_days_at_peak_SI,success_spotify_in_peak_day_streams_SI,success_spotify_in_peak_pos_SI,success_spotify_in_top10_days_SI,success_spotify_streams_S2_bn,success_yt_views_K4_exact,success_yt_views_KI_exact,success_yt_views_W1_bn,success_yt_views_WI_bn,success_yt_yesterday_K4,success_yt_yesterday_KI,tempo_change,tessitura,upload_age_days_at_obs,uploader,vocal_range_citation,vocal_range_high_midi,vocal_range_kind,vocal_range_low_midi,vocal_range_measured,vocal_range_semitones,wiki_film,wiki_genre,wiki_key_tempo_quote,wiki_release,wiki_vocal_range_quote
G001,GLOBAL_SUCCESS,Despacito,Luis Fonsi ft. Daddy Yankee,23.0,,Luis Fonsi featuring Daddy Yankee (Wikipedia; songbpm/getsongbpm list Luis Fonsi only),89.0,"tunebat 429 on 3 attempts; songbpm: ""can also be used double-time at 178 BPM""; songbpm duration 3:48; getsongbpm time signature 4/4",89.0,89.0,wikipedia_sheet_music_quote,,,wikipedia_infobox,,82.0,2017,medium,secondary_estimate,Collector batch G00 (2026-09-22): Spotify-derived features via Tunebat/SongBPM/GetSongBPM + Wikipedia Composition quotes (sheet-music citations). Site keys frequently disagree with sheet music by relative major/minor; sheet-music value preferred when present.,https://getsongbpm.com/song/despacito/J80nED;https://songbpm.com/@luis-fonsi/despacito;https://en.wikipedia.org/wiki/Despacito,non-film,,,,danceability 66,,,B,True,D,,,global,,4/4,minor,major,wikipedia_sheet_music_quote,2017-01-12,half/double-time alternative stated by feature site,,227,,,16,,,"W1,K4,B3",,,,,,,,9126588087,,9.11,,1013280,,,,3540,,Wikipedia ref [35] (citation text not readable in fetched page),71,secondary_estimate (published sheet-music range quoted on Wikipedia; not the recording's measured pitch),54,F♯3-B4,17,,Reggaeton; Latin pop,"""written in the key of B minor with a tempo of 89 beats per minute"" (refs 31,32); ""composed in common time (4/4 time)"" (ref 31)","January 13, 2017","""The vocals span from F♯3 to B4"""
G002,GLOBAL_SUCCESS,See You Again,Wiz Khalifa ft. Charlie Puth,37.0,loudness -8.0 dB; acousticness 37.0,"Wiz Khalifa featuring Charlie Puth (Wikipedia; tunebat: Wiz Khalifa, Charlie Puth)",80.0,"songbpm: ""can also be used double-time at 160 BPM""",80.0,80.0,wikipedia_sheet_music_quote,,,wikipedia_infobox,valence/happiness 29,48.0,2015,medium,secondary_estimate,Collector batch G00 (2026-09-22): Spotify-derived features via Tunebat/SongBPM/GetSongBPM + Wikipedia Composition quotes (sheet-music citations). Site keys frequently disagree with sheet music by relative major/minor; sheet-music value preferred when present.,https://tunebat.com/Info/See-You-Again-Wiz-Khalifa-Charlie-Puth/0WoPfDjE7IpBjGkyX3x4jM;https://songbpm.com/@wiz-khalifa/see-you-again-feat-charlie-puth;https://en.wikipedia.org/wiki/See_You_Again,non-film,,,,danceability 69,,,Bb,False,B♭,,-8.0,global,,4/4,major,major,wikipedia_sheet_music_quote,2015-04-06,half/double-time alternative stated by feature site,,230,,,,,,"W1,K4",,,,,,,,7091120482,,7.08,,977840,,,,4187,,,,,,,,Furious 7 (Furious 7: Original Motion Picture Soundtrack),Hip hop; pop rap,"""It is written in the key of B♭ major with a time signature of 4/4, and has a tempo of 80 beats per minute"" (cited to musicnotes.com)","March 10, 2015","null (page notes ""The chorus of the song has 180 background vocal layers"" but no vocal range)"
G003,GLOBAL_SUCCESS,Shape of You,Ed Sheeran,58.0,"loudness -3 dB, acousticness 58 (Tunebat); release 2017-03-03 (Tunebat, album ÷ Deluxe)",Ed Sheeran,96.0,"songbpm: ""can also be used double-time at 192 BPM""",96.0,96.0,wikipedia_sheet_music_quote,,,wikipedia_infobox,valence/happiness 93,65.0,2017,medium,secondary_estimate,Collector batch G00 (2026-09-22): Spotify-derived features via Tunebat/SongBPM/GetSongBPM + Wikipedia Composition quotes (sheet-music citations). Site keys frequently disagree with sheet music by relative major/minor; sheet-music value preferred when present.,https://tunebat.com/Info/Shape-of-You-Ed-Sheeran/7qiZfU4dY1lWllzX7mPBI3;https://songbpm.com/@ed-sheeran/shape-of-you;https://en.wikipedia.org/wiki/Shape_of_You,non-film,,,,danceability 83,,,C#,False,C♯,,-3.0,global,,4/4,minor,minor,wikipedia_sheet_music_quote,2017-01-30,half/double-time alternative stated by feature site,2017-01-06,234,,,,,,"W1,K4,S2",,,,,,,5.095,6807738194,,6.79,,996907,,,,3522,,Musicnotes.com,80,secondary_estimate (published sheet-music range quoted on Wikipedia; not the recording's measured pitch),56,G♯3-G♯5,24,,"Pop, dancehall, tropical house","""is written in the key of C-sharp minor with a tempo of 96 beats per minute"" and ""is composed in common time (4/4 time), and follows a basic chord progression of C♯m–F♯m–A–B (i–iv–VI–VII)""",6 January 2017,"""Sheeran's vocals span from G♯3 to G♯5"""
G004,GLOBAL_SUCCESS,Axel F,Crazy Frog,30.0,,"Crazy Frog (Wikipedia, songbpm, getsongbpm)",136.0,"tunebat 429 on 2 attempts; songbpm: ""can also be used half-time at 69 BPM or double-time at 276 BPM"" (songbpm bpm 138 vs getsongbpm 136); getsongbpm time signature 4/4; no key given on either site",138.0,136.0,spotify_derived_site,,,wikipedia_infobox,,91.0,2009,low-medium (single secondary site),secondary_estimate,Collector batch G00 (2026-09-22): Spotify-derived features via Tunebat/SongBPM/GetSongBPM + Wikipedia Composition quotes (sheet-music citations). Site keys frequently disagree with sheet music by relative major/minor; sheet-music value preferred when present.,https://getsongbpm.com/song/axel-f/W2Rzx;https://songbpm.com/@crazy-frog/axel-f;https://en.wikipedia.org/wiki/Axel_F_(Crazy_Frog_recording),non-film,,,borderline_novelty,danceability 87,,,,False,,,,global,,4/4,,,,2009-06-16,half/double-time alternative stated by feature site,,174,,,,,,"W1,K4",,,,,,,,6185715587,,6.14,,2630802,,,,6307,,,,,,,,,Techno; novelty,,17 May 2005,
G005,GLOBAL_SUCCESS,Gangnam Style,Psy,0.0,loudness -3.0 dB; acousticness 0.0,PSY (tunebat/songbpm); Psy (Wikipedia),132.0,"songbpm: ""can also be used half-time at 66 BPM or double-time at 264 BPM""",132.0,132.0,spotify_derived_site,,,wikipedia_infobox,valence/happiness 76,94.0,2012,low-medium (single secondary site),secondary_estimate,Collector batch G00 (2026-09-22): Spotify-derived features via Tunebat/SongBPM/GetSongBPM + Wikipedia Composition quotes (sheet-music citations). Site keys frequently disagree with sheet music by relative major/minor; sheet-music value preferred when present.,https://tunebat.com/Info/Gangnam-Style-PSY/1R2SZUOGJqqBiLuvwKOT2Y;https://songbpm.com/@psy/gangnam-style;https://en.wikipedia.org/wiki/Gangnam_Style,non-film,,,,danceability 73,,,B,False,B,,-3.0,global,,,minor,minor,spotify_derived_site,2012-07-15,half/double-time alternative stated by feature site,,219,,,,,,"W1,K4",,,,,,,,6066050604,,6.05,,1259847,,,,5182,,,,,,,,,K-pop; hip hop; dance-pop; EDM,,"July 15, 2012",
G006,GLOBAL_SUCCESS,Uptown Funk,Mark Ronson ft. Bruno Mars,1.0,loudness -7.0 dB; acousticness 1.0,"Mark Ronson featuring Bruno Mars (Wikipedia; tunebat: Mark Ronson, Bruno Mars)",115.0,songbpm: half-time at 58 BPM or double-time at 230 BPM,115.0,115.0,wikipedia_sheet_music_quote,,,wikipedia_infobox,valence/happiness 93,61.0,2014,medium,secondary_estimate,Collector batch G00 (2026-09-22): Spotify-derived features via Tunebat/SongBPM/GetSongBPM + Wikipedia Composition quotes (sheet-music citations). Site keys frequently disagree with sheet music by relative major/minor; sheet-music value preferred when present.,https://tunebat.com/Info/Uptown-Funk-feat-Bruno-Mars-Mark-Ronson-Bruno-Mars/32OlwWuMpZ6b0aN2RZOeMS;https://songbpm.com/@mark-ronson/uptown-funk-feat--bruno-mars-LwWcXp6ait;https://en.wikipedia.org/wiki/Uptown_Funk,non-film,,,,danceability 86,,,D,False,C,,-7.0,global,,,dorian,major,wikipedia_sheet_music_quote,2014-11-19,half/double-time alternative stated by feature site,,270,,,14,,,"W1,K4,B3",,,,,,,,5903516076,,5.89,,760402,,,,4325,,Wikipedia ref [38] (citation text not readable in fetched page),86,secondary_estimate (published sheet-music range quoted on Wikipedia; not the recording's measured pitch),47,B2-D6,39,,"Funk-pop, soul, boogie, disco-pop, Minneapolis sound","""Written in the key of D Dorian, it has a tempo of 115 beats per minute""","November 10, 2014","""with vocals ranging from B2 to D6"" (same sentence)"
G007,GLOBAL_SUCCESS,Dame Tu Cosita,El Chombo feat. Cutty Ranks,3.0,loudness -5.0 dB; acousticness 3.0,"El Chombo featuring Cutty Ranks (Wikipedia; tunebat: El Chombo, Dancing Green Alien, Cutty Ranks)",110.0,"songbpm: ""can also be used half-time at 55 BPM or double-time at 220 BPM""",110.0,110.0,spotify_derived_site,,,wikipedia_infobox,valence/happiness 69,93.0,2018,low-medium (single secondary site),secondary_estimate,Collector batch G00 (2026-09-22): Spotify-derived features via Tunebat/SongBPM/GetSongBPM + Wikipedia Composition quotes (sheet-music citations). Site keys frequently disagree with sheet music by relative major/minor; sheet-music value preferred when present.,https://tunebat.com/Info/Dame-Tu-Cosita-feat-Cutty-Ranks-El-Chombo-Dancing-Green-Alien-Cutty-Ranks/09SNuR471zu5nVvC4IVG8j;https://songbpm.com/@el-chombo/dame-tu-cosita;https://en.wikipedia.org/wiki/Dame_Tu_Cosita,non-film,,,borderline_novelty,danceability 89,,,D,False,D,,-5.0,global,,,major,major,spotify_derived_site,2018-04-05,half/double-time alternative stated by feature site,,145,,,,,,"W1,K4",,,,,,,,5633751011,,5.6,,1994799,,,,3092,,,,,,,,,Reggaeton,,2 April 2018,
G008,GLOBAL_SUCCESS,Waka Waka (This Time for Africa),Shakira,1.0,loudness -6.0 dB; acousticness 1.0,"Shakira featuring Freshlyground (Wikipedia; tunebat: Shakira, Freshlyground)",127.0,"songbpm: ""can also be used half-time at 64 BPM or double-time at 254 BPM""; songbpm duration 3:24; NOTE feature sites say B minor while Wikipedia says D major (relative keys)",127.0,127.0,wikipedia_sheet_music_quote,,,wikipedia_infobox,valence/happiness 74,87.0,2010,medium,secondary_estimate,Collector batch G00 (2026-09-22): Spotify-derived features via Tunebat/SongBPM/GetSongBPM + Wikipedia Composition quotes (sheet-music citations). Site keys frequently disagree with sheet music by relative major/minor; sheet-music value preferred when present.,https://tunebat.com/Info/Waka-Waka-This-Time-for-Africa-The-Official-2010-FIFA-World-Cup-TM-Song-Shakira-Freshlyground/2Cd9iWfcOpGDHLz6tVA3G4;https://songbpm.com/@shakira/waka-waka-this-time-for-africa;https://en.wikipedia.org/wiki/Waka_Waka_(This_Time_for_Africa),non-film,,,,danceability 77,,,D,True,B,,-6.0,global,,,major,minor,wikipedia_sheet_music_quote,2010-06-04,half/double-time alternative stated by feature site,,202,,,,,,"W1,K4",,,,,,,,4761296476,,4.73,,1478977,,,,5954,,,,,,,,"null (official 2010 FIFA World Cup song, not a film)","Pop, Afro fusion, Afropop, Soca","""'Waka Waka (This Time For Africa)' is written in the key of D major, and has tempo of 127 beats per minute."" (ref 18)",7 May 2010,
G009,GLOBAL_SUCCESS,Counting Stars,OneRepublic,7.0,,OneRepublic,122.0,"tunebat 429 on 3 attempts; songbpm: ""can also be used half-time at 61 BPM or double-time at 244 BPM"" (songbpm 122 vs getsongbpm 123); getsongbpm time signature 4/4",122.0,123.0,wikipedia_sheet_music_quote,,,wikipedia_infobox,,71.0,2013,medium,secondary_estimate,Collector batch G00 (2026-09-22): Spotify-derived features via Tunebat/SongBPM/GetSongBPM + Wikipedia Composition quotes (sheet-music citations). Site keys frequently disagree with sheet music by relative major/minor; sheet-music value preferred when present.,https://getsongbpm.com/song/counting-stars/jqpBLP;https://songbpm.com/@onerepublic/counting-stars;https://en.wikipedia.org/wiki/Counting_Stars,non-film,,,,danceability 67,,,C#,False,C♯/D♭,,,global,,4/4,minor,minor,wikipedia_sheet_music_quote,2013-05-31,half/double-time alternative stated by feature site,2013-06-14,257,,,,,,"W1,K4,S2",,,,,,,3.642,4512287231,,4.4,,928060,,107.6 -> 122 BPM (Wikipedia sheet-music quote),,4862,,Wikipedia ref [13] (citation text not readable in fetched page),73,secondary_estimate (published sheet-music range quoted on Wikipedia; not the recording's measured pitch),47,B2-C♯5,26,,Pop rock,"""Sheet music for 'Counting Stars' is in the key of C♯ minor with a tempo of 107.6 beats per minute before increasing to 122 beats per minute, following a chord progression of C♯m-E-B-A."" (ref 13)","June 14, 2013","""Tedder's vocals span from a low of B2 to a high of C♯5."" (ref 13)"
G010,GLOBAL_SUCCESS,Sugar,Maroon 5,6.0,,Maroon 5,120.0,"tunebat 403 then 429 on 3 attempts; getsongbpm lists 58 BPM (Largo) = half-time of songbpm 120; songbpm: ""can also be used half-time at 60 BPM or double-time at 240 BPM""; songbpm duration 3:56; getsongbpm time signature 4/4",120.0,58.0,wikipedia_sheet_music_quote,,,wikipedia_infobox,,79.0,2015,medium,secondary_estimate,Collector batch G00 (2026-09-22): Spotify-derived features via Tunebat/SongBPM/GetSongBPM + Wikipedia Composition quotes (sheet-music citations). Site keys frequently disagree with sheet music by relative major/minor; sheet-music value preferred when present.,https://getsongbpm.com/song/sugar/jZN9r4;https://songbpm.com/@maroon-5/sugar;https://en.wikipedia.org/wiki/Sugar_(Maroon_5_song),non-film,,,,danceability 75,,,Db,False,C♯/D♭,,,global,,4/4,major,major,wikipedia_sheet_music_quote,2015-01-14,half/double-time alternative stated by feature site,,235,,,,,,"W1,K4",,,,,,,,4428285623,,4.37,,510964,,,,4269,,"Kobalt Music Publishing digital sheet music (Wikipedia refs 14,15)",76,secondary_estimate (published sheet-music range quoted on Wikipedia; not the recording's measured pitch),49,D♭3-F♭5,27,,Disco; funk-pop; soul,"""According to Kobalt Music Publishing's digital sheet music for the song, 'Sugar' is composed in the key of D♭ major and set in common time signature, and has a moderate groove of 120 beats per minute."" (refs 14,15)","January 13, 2015","""Levine's vocals span from the low note of D♭3 to the high note of F♭5, over one octave higher."""
