broadband_robust_z,classification,confidence,confidence_score,frame_30fps,kick_ratio,low_band_robust_z,snare_band_robust_z,snare_ratio,source,time_ms
2.923,kick,medium,0.628,96,0.607,1.815,1.175,0.393,MIXED_MASTER_ONLY,3190
3.844,uncertain,low,0.574,864,0.483,1.947,2.086,0.517,MIXED_MASTER_ONLY,28800
2.602,snare,medium,0.786,958,0.295,1.053,2.514,0.705,MIXED_MASTER_ONLY,31940
3.194,snare,high,0.95,963,0.148,0.806,4.635,0.852,MIXED_MASTER_ONLY,32100
3.401,snare,high,0.95,977,0.0,-1.511,3.902,1.0,MIXED_MASTER_ONLY,32580
2.466,snare,medium,0.95,1073,0.0,-0.277,2.015,1.0,MIXED_MASTER_ONLY,35760
4.035,snare,high,0.95,1152,0.183,1.107,4.93,0.817,MIXED_MASTER_ONLY,38390
6.898,snare,high,0.95,1211,0.207,1.921,7.359,0.793,MIXED_MASTER_ONLY,40380
7.346,snare,high,0.95,1223,0.066,0.487,6.853,0.934,MIXED_MASTER_ONLY,40780
5.213,snare,high,0.95,1229,0.277,1.817,4.739,0.723,MIXED_MASTER_ONLY,40980
3.119,snare,medium,0.66,1240,0.413,1.631,2.318,0.587,MIXED_MASTER_ONLY,41330
6.626,snare,high,0.95,1247,0.223,2.136,7.459,0.777,MIXED_MASTER_ONLY,41580
6.849,snare,high,0.95,1259,0.269,2.461,6.7,0.731,MIXED_MASTER_ONLY,41980
2.709,snare,high,0.91,1265,0.242,1.049,3.282,0.758,MIXED_MASTER_ONLY,42180
7.843,snare,high,0.95,1271,0.045,0.319,6.804,0.955,MIXED_MASTER_ONLY,42380
6.742,snare,high,0.95,1289,0.272,2.335,6.237,0.728,MIXED_MASTER_ONLY,42980
7.185,snare,high,0.95,1307,0.235,2.259,7.364,0.765,MIXED_MASTER_ONLY,43580
7.636,snare,high,0.95,1319,0.124,0.949,6.713,0.876,MIXED_MASTER_ONLY,43980
3.334,snare,medium,0.922,1328,0.193,0.706,2.953,0.807,MIXED_MASTER_ONLY,44280
6.597,snare,high,0.95,1343,0.256,2.314,6.738,0.744,MIXED_MASTER_ONLY,44780
2.925,snare,high,0.95,1351,0.0,-0.129,4.933,1.0,MIXED_MASTER_ONLY,45020
6.507,snare,high,0.95,1355,0.266,2.302,6.344,0.734,MIXED_MASTER_ONLY,45180
7.286,snare,high,0.95,1367,0.063,0.41,6.135,0.937,MIXED_MASTER_ONLY,45580
6.99,snare,high,0.95,1385,0.267,2.539,6.983,0.733,MIXED_MASTER_ONLY,46180
7.584,snare,high,0.95,1403,0.244,2.513,7.766,0.756,MIXED_MASTER_ONLY,46780
8.085,snare,high,0.95,1415,0.139,1.082,6.68,0.861,MIXED_MASTER_ONLY,47180
3.132,snare,high,0.95,1422,0.034,0.162,4.652,0.966,MIXED_MASTER_ONLY,47410
6.587,snare,high,0.95,1439,0.236,2.15,6.975,0.764,MIXED_MASTER_ONLY,47980
6.789,snare,high,0.95,1451,0.259,2.317,6.631,0.741,MIXED_MASTER_ONLY,48380
7.489,snare,high,0.95,1463,0.108,0.794,6.553,0.892,MIXED_MASTER_ONLY,48780
7.035,snare,high,0.95,1481,0.269,2.527,6.884,0.731,MIXED_MASTER_ONLY,49380
7.816,snare,high,0.95,1499,0.233,2.47,8.132,0.767,MIXED_MASTER_ONLY,49980
8.024,snare,high,0.95,1511,0.153,1.3,7.176,0.847,MIXED_MASTER_ONLY,50380
2.848,snare,medium,0.924,1528,0.172,0.582,2.796,0.828,MIXED_MASTER_ONLY,50940
7.161,snare,high,0.95,1535,0.255,2.462,7.187,0.745,MIXED_MASTER_ONLY,51180
6.879,snare,high,0.95,1547,0.265,2.401,6.653,0.735,MIXED_MASTER_ONLY,51580
7.558,snare,high,0.95,1559,0.053,0.342,6.068,0.947,MIXED_MASTER_ONLY,51980
6.529,snare,high,0.95,1577,0.245,2.157,6.656,0.755,MIXED_MASTER_ONLY,52580
7.592,snare,high,0.95,1595,0.208,2.163,8.238,0.792,MIXED_MASTER_ONLY,53180
7.114,snare,high,0.95,1607,0.072,0.485,6.23,0.928,MIXED_MASTER_ONLY,53580
4.683,snare,high,0.95,1613,0.23,1.345,4.492,0.77,MIXED_MASTER_ONLY,53780
7.183,snare,high,0.95,1631,0.233,2.358,7.771,0.767,MIXED_MASTER_ONLY,54380
2.646,snare,high,0.924,1636,0.248,1.141,3.465,0.752,MIXED_MASTER_ONLY,54530
6.74,snare,high,0.95,1643,0.266,2.35,6.492,0.734,MIXED_MASTER_ONLY,54780
7.471,snare,high,0.95,1655,0.153,1.115,6.152,0.847,MIXED_MASTER_ONLY,55180
6.401,snare,high,0.95,1673,0.304,2.472,5.666,0.696,MIXED_MASTER_ONLY,55780
7.739,snare,high,0.95,1691,0.24,2.524,7.974,0.76,MIXED_MASTER_ONLY,56380
8.445,snare,high,0.95,1703,0.137,1.17,7.388,0.863,MIXED_MASTER_ONLY,56780
3.172,snare,medium,0.74,1712,0.335,1.215,2.412,0.665,MIXED_MASTER_ONLY,57080
6.65,snare,high,0.95,1727,0.252,2.297,6.826,0.748,MIXED_MASTER_ONLY,57580
2.754,snare,high,0.95,1735,0.0,-0.459,4.67,1.0,MIXED_MASTER_ONLY,57840
6.52,snare,high,0.95,1739,0.271,2.332,6.266,0.729,MIXED_MASTER_ONLY,57980
7.68,snare,high,0.95,1751,0.142,1.063,6.424,0.858,MIXED_MASTER_ONLY,58380
6.169,snare,high,0.95,1769,0.285,2.344,5.876,0.715,MIXED_MASTER_ONLY,58980
7.333,snare,high,0.95,1787,0.246,2.419,7.427,0.754,MIXED_MASTER_ONLY,59580
7.854,snare,high,0.95,1799,0.14,1.078,6.607,0.86,MIXED_MASTER_ONLY,59980
2.515,snare,medium,0.877,1817,0.122,0.26,1.867,0.878,MIXED_MASTER_ONLY,60580
7.045,snare,high,0.95,1823,0.243,2.312,7.213,0.757,MIXED_MASTER_ONLY,60780
6.417,snare,high,0.95,1835,0.284,2.365,5.97,0.716,MIXED_MASTER_ONLY,61180
7.738,snare,high,0.95,1847,0.093,0.703,6.847,0.907,MIXED_MASTER_ONLY,61580
